1,AL,2001,80.977432,194089,0,0;1,AL,2002,81.550888,204031,0,0;1,AL,2003,80.669098,207635,0,0;1,AL,2004,82.787102,209570,0,0;1,AL,2005,81.994995,209463,0,0;1,AL,2006,83.285881,212145,0,0;1,AL,2007,83.272858,214855,0,0;1,AL,2008,82.835869,216883,0,0;1,AL,2009,81.354218,223153,0,0;1,AL,2010,83.312325,217680,0,0;1,AL,2011,83.033257,214768,0,0;1,AL,2012,82.637779,212421,0,0;1,AL,2013,82.261948,211866,0,0;1,AL,2014,82.559486,202399,0,0
2,AK,2001,86.04274,16152,0,0;2,AK,2002,86.743927,17259,0,0;2,AK,2003,84.311386,17788,0,0;2,AK,2004,83.993805,18455,0,0;2,AK,2005,84.214714,18692,0,0;2,AK,2006,85.223305,19048,0,0;2,AK,2007,85.306244,18954,0,0;2,AK,2008,84.326775,18804,0,0;2,AK,2009,84.124657,19172,0,0;2,AK,2010,87.260117,17073,0,0;2,AK,2011,81.123444,18387,0,0;2,AK,2012,80.416008,17621,0,0;2,AK,2013,83.26976,19098,0,0;2,AK,2014,84.132553,19161,0,0
4,AZ,2001,83.033234,170293,0,0;4,AZ,2002,83.237274,178174,0,0;4,AZ,2003,81.859787,184789,0,0;4,AZ,2004,83.175957,191396,0,0;4,AZ,2005,83.864014,193715,0,0;4,AZ,2006,83.317528,197640,0,0;4,AZ,2007,84.811913,199695,0,0;4,AZ,2008,81.606049,203411,0,0;4,AZ,2009,83.753326,208646,0,0;4,AZ,2010,84.311539,212315,0,0;4,AZ,2011,83.904396,218141,0,0;4,AZ,2012,83.215424,222065,0,0;4,AZ,2013,83.041,223397,0,0;4,AZ,2014,84.201355,215350,0,0
5,AR,2001,81.652489,118430,0,0;5,AR,2002,81.377167,124473,0,0;5,AR,2003,80.17569,125977,0,0;5,AR,2004,80.747734,127250,0,0;5,AR,2005,80.702095,126559,0,0;5,AR,2006,81.564545,127356,0,0;5,AR,2007,81.787544,128550,0,0;5,AR,2008,82.55587,130022,0,0;5,AR,2009,81.192802,134496,0,0;5,AR,2010,82.216919,130057,0,0;5,AR,2011,80.603073,126296,0,0;5,AR,2012,81.043877,123967,0,0;5,AR,2013,81.742317,122707,0,0;5,AR,2014,81.505592,117872,0,0
6,CA,2001,83.777428,1149141,0,0;6,CA,2002,84.095955,1179484,0,0;6,CA,2003,84.414604,1217398,0,0;6,CA,2004,84.676971,1239651,0,0;6,CA,2005,84.858086,1242263,0,0;6,CA,2006,84.689766,1255828,0,0;6,CA,2007,85.045883,1255572,0,0;6,CA,2008,85.021049,1263213,0,0;6,CA,2009,85.14138,1285247,0,0;6,CA,2010,85.210075,1296334,0,0;6,CA,2011,85.518921,1314462,0,0;6,CA,2012,85.808014,1315462,0,0;6,CA,2013,85.514572,1314348,0,0;6,CA,2014,86.05307,1256961,0,0
8,CO,2001,82.291649,125322,0,0;8,CO,2002,81.658173,128188,0,0;8,CO,2003,81.683075,130688,0,0;8,CO,2004,83.8853,135682,0,0;8,CO,2005,82.650543,138808,0,0;8,CO,2006,83.506577,141121,0,0;8,CO,2007,85.180534,142618,0,0;8,CO,2008,84.616394,143755,0,0;8,CO,2009,82.005104,143685,0,0;8,CO,2010,82.709801,145783,0,0;8,CO,2011,84.255859,146505,0,0;8,CO,2012,84.702888,146168,0,0;8,CO,2013,83.907166,148901,0,0;8,CO,2014,85.410828,148951,0,0
9,CT,2001,80.94297,77691,0,0;9,CT,2002,81.436821,80440,0,0;9,CT,2003,81.505478,83311,0,0;9,CT,2004,81.786491,85004,0,0;9,CT,2005,82.453827,87096,0,0;9,CT,2006,81.923622,89724,0,0;9,CT,2007,83.114227,89814,0,0;9,CT,2008,85.246117,90824,0,0;9,CT,2009,81.70945,92122,0,0;9,CT,2010,85.253365,91758,0,0;9,CT,2011,84.850395,92758,0,0;9,CT,2012,84.051323,92846,0,0;9,CT,2013,84.223984,93770,0,0;9,CT,2014,82.709442,94034,0,0
10,DE,2001,75.904274,23869,0,0;10,DE,2002,79.072945,24929,0,0;10,DE,2003,83.214394,25653,0,0;10,DE,2004,81.786476,26552,0,0;10,DE,2005,80.266113,26929,0,0;10,DE,2006,83.816437,27619,0,0;10,DE,2007,85.376892,28139,0,0;10,DE,2008,82.237167,28765,0,0;10,DE,2009,80.305206,29142,0,0;10,DE,2010,83.582291,29613,0,0;10,DE,2011,84.501183,28867,0,0;10,DE,2012,81.856918,29457,0,0;10,DE,2013,81.08197,29574,0,0;10,DE,2014,81.201813,29043,0,0
11,DC,2001,78.145111,22411,0,0;11,DC,2002,80.577751,23520,0,0;11,DC,2003,79.221359,23298,0,0;11,DC,2004,79.014214,22784,0,0;11,DC,2005,78.408073,22214,0,0;11,DC,2006,80.798157,21662,0,0;11,DC,2007,79.184959,21575,0,0;11,DC,2008,79.624832,21041,0,0;11,DC,2009,78.545853,20357,0,0;11,DC,2010,80.468918,20224,0,0;11,DC,2011,78.821808,19018,0,0;11,DC,2012,79.082466,19653,0,0;11,DC,2013,75.444153,19303,0,0;11,DC,2014,81.552597,18486,0,0
12,FL,2001,84.770599,597648,0,0;12,FL,2002,83.945335,733614,0,0;12,FL,2003,83.625099,762211,0,0;12,FL,2004,83.848145,786472,0,0;12,FL,2005,83.806641,803597,0,0;12,FL,2006,84.235779,816230,0,0;12,FL,2007,84.300011,824104,0,0;12,FL,2008,84.335968,838053,0,0;12,FL,2009,83.493134,861739,0,0;12,FL,2010,83.629234,881067,0,0;12,FL,2011,83.633766,893180,0,0;12,FL,2012,83.338951,930315,0,0;12,FL,2013,82.313988,945942,0,0;12,FL,2014,83.711105,890424,0,0
13,GA,2001,81.469582,303107,0,0;13,GA,2002,81.624405,321725,0,0;13,GA,2003,80.930611,331306,0,0;13,GA,2004,81.964874,341827,0,0;13,GA,2005,82.358978,350232,0,0;13,GA,2006,82.306229,362789,0,0;13,GA,2007,83.288116,379327,0,0;13,GA,2008,82.632072,393708,0,0;13,GA,2009,81.009941,410803,0,0;13,GA,2010,81.594559,418325,0,0;13,GA,2011,82.195488,424086,0,0;13,GA,2012,81.420891,435016,0,0;13,GA,2013,81.548309,435556,0,0;13,GA,2014,83.308357,417261,0,0
