sex,wave,age,annhrs,annwks,yrsexp,annlabinc,region
1,1981,29,1960,49.0,11.0,18000.0,3.0
2,1981,33,1560,39.0,15.0,5000.0,3.0
1,1981,34,2100,48.0,14.0,24000.0,4.0
2,1981,43,2020,45.0,22.0,9700.0,4.0
2,1981,63,2304,48.0,39.0,14580.0,4.0
1,1981,39,1716,41.0,17.0,25760.0,2.0
1,1981,48,2090,47.0,30.0,25000.0,1.0
1,1981,50,2011,49.0,30.0,8293.0,3.0
1,1981,25,1906,43.0,7.0,9000.0,3.0
1,1981,28,2295,51.0,8.0,9360.0,3.0
1,1981,59,1560,44.0,41.0,22000.0,1.0
2,1981,56,2112,48.0,34.0,17000.0,1.0
1,1981,37,1944,49.0,19.0,22000.0,2.0
2,1981,40,1840,46.0,9.0,7000.0,1.0
1,1981,44,2000,50.0,26.0,12000.0,3.0
1,1981,38,2295,51.0,20.0,14338.0,2.0
2,1981,32,1560,39.0,10.0,14000.0,3.0
1,1981,41,1967,49.0,23.0,22035.0,4.0
2,1981,34,141,18.0,4.0,800.0,3.0
1,1981,36,2940,47.0,18.0,30150.0,3.0
2,1981,34,960,24.0,9.0,3216.0,3.0
1,1981,30,2008,49.0,12.0,13534.0,3.0
2,1981,31,1651,51.0,8.0,4943.0,2.0
2,1981,34,2000,50.0,11.0,9500.0,3.0
1,1981,37,2056,48.0,18.0,24761.0,1.0
1,1981,53,2350,47.0,35.0,16385.0,3.0
2,1981,27,2264,51.0,9.0,10190.0,1.0
2,1981,47,1036,43.0,29.0,4800.0,3.0
2,1981,27,1024,25.0,7.0,4000.0,3.0
1,1981,30,2009,48.0,12.0,26000.0,4.0
1,1981,55,2065,51.0,35.0,9575.0,3.0
1,1981,61,1960,49.0,43.0,16000.0,2.0
2,1981,48,1982,47.0,30.0,17982.0,3.0
1,1981,32,1800,45.0,14.0,9000.0,2.0
2,1981,25,833,35.0,7.0,7000.0,1.0
2,1981,37,1984,50.0,15.0,13000.0,3.0
1,1981,29,2090,47.0,11.0,24600.0,4.0
1,1981,43,2450,49.0,25.0,38500.0,1.0
2,1981,53,1964,47.0,35.0,30300.0,4.0
1,1981,37,2117,50.0,19.0,9000.0,3.0
