1,29,1960,49.0,11.0,18000.0,3.0;1,45,1960,49.0,27.0,24000.0,4.0;1,64,1920,48.0,42.0,25500.0,4.0;1,54,2364,45.0,36.0,30000.0,2.0;1,33,2208,50.0,15.0,15000.0,2.0;2,30,560,50.0,11.0,5000.0,3.0
2,33,1560,39.0,15.0,5000.0,3.0;1,30,852,21.0,12.0,5000.0,3.0;1,29,580,39.0,11.0,8000.0,1.0;2,45,1638,52.0,8.0,3000.0,2.0;2,33,975,35.0,10.0,2000.0,2.0;2,51,2100,50.0,31.0,9000.0,1.0
1,34,2100,48.0,14.0,24000.0,4.0;1,35,1520,0.0,17.0,2894.0,3.0;1,25,1030,25.0,7.0,11000.0,2.0;1,54,1460,34.0,36.0,21500.0,1.0;2,25,2352,49.0,7.0,10000.0,4.0;2,49,2069,50.0,20.0,18500.0,3.0
2,43,2020,45.0,22.0,9700.0,4.0;2,26,2024,51.0,8.0,6800.0,3.0;2,34,2026,49.0,16.0,9000.0,3.0;2,42,1898,46.0,18.0,27000.0,2.0;2,25,1920,48.0,6.0,8125.0,3.0;2,31,2070,45.0,9.0,8360.0,3.0
2,63,2304,48.0,39.0,14580.0,4.0;1,55,1710,46.0,37.0,16715.0,2.0;1,25,2652,51.0,7.0,13140.0,3.0;1,30,2030,37.0,12.0,19200.0,4.0;1,50,1616,40.0,31.0,21000.0,2.0;2,33,480,12.0,9.0,4200.0,3.0
1,39,1716,41.0,17.0,25760.0,2.0;2,63,554,35.0,15.0,1957.0,1.0;1,30,1776,43.0,12.0,26000.0,4.0;2,33,1988,47.0,4.0,10000.0,3.0;1,60,2184,52.0,32.0,14000.0,3.0;2,29,1853,46.0,11.0,11400.0,2.0
1,48,2090,47.0,30.0,25000.0,1.0;1,49,2580,46.0,31.0,37000.0,4.0;1,49,2000,49.0,29.0,21300.0,2.0;1,60,1944,43.0,42.0,11000.0,3.0;1,41,2210,50.0,20.0,11570.0,1.0;2,35,2250,50.0,13.0,19407.0,3.0
1,50,2011,49.0,30.0,8293.0,3.0;1,58,1950,48.0,40.0,14000.0,3.0;2,30,2080,52.0,8.0,7500.0,3.0;2,28,2500,50.0,10.0,13000.0,2.0;1,54,2000,50.0,35.0,17000.0,4.0;2,46,2120,52.0,12.0,6353.0,1.0
1,25,1906,43.0,7.0,9000.0,3.0;2,25,2096,51.0,2.0,7000.0,4.0;2,33,1746,47.0,15.0,11500.0,1.0;1,48,1960,49.0,29.0,7000.0,3.0;1,34,1788,50.0,12.0,16000.0,1.0;2,27,1032,17.0,8.0,3111.0,3.0
1,28,2295,51.0,8.0,9360.0,3.0;1,52,1939,48.0,34.0,20000.0,1.0;1,30,2701,48.0,11.0,18500.0,3.0;2,30,1742,48.0,4.0,7000.0,4.0;1,48,1920,48.0,29.0,8400.0,3.0;1,37,2258,48.0,19.0,5000.0,3.0
1,59,1560,44.0,41.0,22000.0,1.0;1,37,2734,48.0,19.0,45050.0,4.0;1,39,1830,45.0,21.0,10338.0,3.0;1,27,2109,46.0,9.0,16500.0,1.0;1,31,1764,48.0,13.0,24000.0,1.0;1,48,2420,48.0,30.0,24000.0,3.0
2,56,2112,48.0,34.0,17000.0,1.0;2,39,1600,40.0,21.0,18000.0,3.0;1,29,1776,43.0,8.0,18000.0,2.0;1,45,2580,52.0,27.0,13581.0,3.0;1,34,2241,50.0,16.0,13000.0,3.0;2,32,1578,35.0,14.0,3280.0,4.0
1,37,1944,49.0,19.0,22000.0,2.0;2,35,2544,51.0,12.0,12186.0,3.0;1,33,1531,39.0,13.0,18500.0,1.0;2,33,1880,47.0,2.0,9000.0,3.0;2,46,1832,46.0,8.0,7000.0,2.0;1,26,2500,50.0,4.0,23000.0,3.0
2,40,1840,46.0,9.0,7000.0,1.0;2,27,1984,50.0,9.0,6000.0,3.0;2,32,1725,50.0,7.0,5500.0,2.0;1,57,1889,47.0,39.0,24000.0,4.0;1,46,2450,49.0,28.0,51000.0,2.0;1,28,2096,51.0,10.0,17600.0,2.0
1,44,2000,50.0,26.0,12000.0,3.0;2,25,1676,45.0,6.0,9000.0,1.0;1,32,2346,51.0,12.0,30000.0,2.0;1,39,1960,49.0,20.0,19000.0,3.0;2,31,325,13.0,3.0,1900.0,3.0;2,30,1990,49.0,12.0,32000.0,1.0
1,38,2295,51.0,20.0,14338.0,2.0;1,33,2506,50.0,14.0,23000.0,3.0;2,28,1840,46.0,5.0,6700.0,2.0;1,39,2940,49.0,21.0,10000.0,4.0;2,29,1984,50.0,11.0,7864.0,3.0;2,27,940,47.0,5.0,1200.0,4.0
2,32,1560,39.0,10.0,14000.0,3.0;1,49,2106,47.0,27.0,24883.0,4.0;1,56,1000,25.0,38.0,14999.0,2.0;2,27,80,4.0,1.0,300.0,4.0;2,29,300,15.0,7.0,1000.0,1.0;2,38,2500,50.0,18.0,22800.0,3.0
1,41,1967,49.0,23.0,22035.0,4.0;1,25,4335,51.0,7.0,11300.0,4.0;1,29,2008,48.0,10.0,19440.0,3.0;2,25,3191,49.0,7.0,12400.0,1.0;2,33,1755,39.0,15.0,11000.0,2.0;2,40,2000,50.0,9.0,7000.0,2.0
2,34,141,18.0,4.0,800.0,3.0;1,27,2450,49.0,9.0,15000.0,1.0;1,33,2394,50.0,15.0,9199.0,3.0;2,30,1500,50.0,9.0,6500.0,3.0;2,57,1360,34.0,34.0,7000.0,4.0;2,27,1000,50.0,6.0,3500.0,3.0
1,36,2940,47.0,18.0,30150.0,3.0;1,63,771,51.0,40.0,7000.0,4.0;2,48,1750,44.0,30.0,10000.0,2.0;1,54,1880,47.0,35.0,14000.0,4.0;1,60,2146,52.0,42.0,4800.0,3.0;1,51,2068,47.0,29.0,23000.0,3.0
