34,1600,32.0,12.0;26,2100,50.0,8.0;50,3072,51.2000007629395,30.0;40,2024,50.5999984741211,17.0;64,2550,51.0,39.0;39,1944,48.5999984741211,15.0;
32,520,13.0,14.0;47,2988,50.0,29.0;33,600,50.0,15.0;55,1750,50.0,32.0;48,2450,49.0,24.0;36,2080,52.0,11.0;
30,2410,48.0,12.0;30,2400,50.0,11.0;25,2010,50.0,7.0;40,2340,52.0,17.0;31,2880,48.0,12.0;26,2196,48.7999992370605,7.0;
41,1746,47.0,23.0;25,2171,49.0,4.0;48,2205,49.0,29.0;27,1350,45.0,9.0;31,2430,48.5999984741211,8.0;55,1968,48.2000007629395,37.0;
32,2752,50.0,13.0;39,2600,45.0,21.0;46,1937,47.7000007629395,27.0;42,1840,46.0,19.0;41,1928,48.2000007629395,18.0;49,1900,38.0,24.0;
28,3028,50.0,9.0;34,2091,51.0,16.0;34,2540,50.7999992370605,15.0;33,2016,50.4000015258789,11.0;33,1788,44.7000007629395,12.0;61,2940,49.0,38.0;
31,2778,50.0,13.0;40,3332,48.0,22.0;27,2448,51.0,9.0;30,880,22.0,10.0;34,2016,50.4000015258789,12.0;50,2695,49.0,25.0;
36,2419,46.0,17.0;43,2028,48.0,25.0;46,3640,52.0,25.0;33,447,50.0,8.0;50,1526,43.5999984741211,25.0;36,2115,47.0,13.0;
31,1710,29.0,13.0;39,1404,49.0,12.0;52,2015,50.0,33.0;46,1950,39.0,23.0;48,1772,44.2999992370605,22.0;47,3000,50.0,21.0;
37,3104,48.0,19.0;43,2160,48.0,25.0;49,2896,50.7999992370605,28.0;31,2121,48.2000007629395,11.0;41,2205,49.0,17.0;49,1640,49.0,23.0;
55,1920,48.0,37.0;31,2080,52.0,13.0;32,2789,50.0,12.0;45,1952,48.7999992370605,22.0;59,1960,49.0,35.0;37,1968,49.2000007629395,17.0;
29,1920,48.0,11.0;30,1770,35.0,12.0;32,2080,52.0,12.0;56,1950,39.0,33.0;43,1976,49.4000015258789,22.0;44,2640,48.0,19.0;
37,2544,47.0,19.0;39,669,16.0,21.0;36,1904,39.5999984741211,17.0;33,2392,52.0,10.0;35,1800,45.0,11.0;42,1680,42.0,17.0;
60,1886,45.0,38.0;36,2760,46.0,18.0;42,2205,49.0,21.0;45,2381,49.5999984741211,21.0;36,1560,39.0,12.0;40,2074,48.0,13.0;
32,1672,42.0,14.0;59,2339,46.0,32.0;37,2232,49.5999984741211,16.0;26,2102,50.2000007629395,7.0;31,3096,51.5999984741211,9.0;27,3162,51.0,8.0;
39,2333,48.0,20.0;52,2005,47.0,34.0;47,2738,52.0,28.0;30,2086,51.4000015258789,9.0;37,2600,52.0,18.0;33,2350,47.0,12.0;
43,1040,13.0,16.0;61,1960,49.0,43.0;25,3000,50.0,6.0;54,2550,51.0,36.0;34,2056,51.4000015258789,11.0;33,2500,50.0,10.0;
50,1816,45.0,32.0;29,2208,49.0,11.0;45,2695,49.0,26.0;36,1624,40.5999984741211,16.0;36,2080,52.0,14.0;43,2000,50.0,21.0;
59,1868,47.0,41.0;40,2584,47.0,22.0;41,4092,52.0,20.0;32,2468,51.0,12.0;50,2184,52.0,26.0;42,1904,45.5999984741211,18.0;
27,2000,50.0,9.0;45,2422,52.0,27.0;50,2139,51.5999984741211,30.0;37,3640,52.0,14.0;63,828,20.7000007629395,36.0;33,2397,51.0,11.0;
51,2090,51.0,33.0;52,2450,49.0,34.0;46,2530,50.5999984741211,25.0;42,2000,50.0,18.0;29,708,17.7000007629395,11.0;33,1856,46.4000015258789,11.0;
53,2205,49.0,31.0;63,2254,49.0,44.0;37,2009,49.0,18.0;39,2600,52.0,15.0;44,1920,48.0,19.0;51,4160,52.0,16.0;
56,2400,46.0,34.0;30,2100,50.0,12.0;35,2856,51.0,16.0;51,2580,51.5999984741211,28.0;34,1584,36.0,8.0;33,2340,52.0,10.0;
48,2090,47.0,30.0;33,2400,48.0,15.0;38,2590,51.7999992370605,19.0;46,1584,39.5999984741211,19.0;32,1922,42.7000007629395,11.0;28,2304,48.0,8.0;
27,1848,43.0,9.0;40,3000,50.0,22.0;47,2048,51.2000007629395,23.0;31,2226,50.5999984741211,12.0;53,3366,51.0,35.0;32,1900,47.0,13.0;
35,1972,49.0,8.0;38,1888,47.0,19.0;30,2059,49.5999984741211,10.0;26,2480,47.5999984741211,4.0;59,1480,37.0,31.0;37,720,24.0,12.0;
25,2002,51.0,7.0;29,1624,41.0,11.0;46,1530,51.0,23.0;45,2530,46.0,22.0;49,2860,52.0,25.0;49,2450,49.0,27.0;
27,312,16.0,5.0;43,1576,43.0,8.0;44,2300,50.0,25.0;55,1560,52.0,15.0;46,1560,52.0,16.0;31,1560,52.0,13.0;
25,1880,47.0,7.0;51,2008,50.0,13.0;56,1820,52.0,27.0;28,1536,38.4000015258789,2.0;36,588,49.0,13.0;43,132,4.40000009536743,20.0;
30,1673,47.0,12.0;28,1456,52.0,9.0;60,1834,43.7000007629395,38.0;43,1788,44.7000007629395,25.0;47,1772,44.2999992370605,28.0;50,1530,34.0,19.0;
50,1110,37.0,23.0;59,585,39.0,41.0;49,1525,47.7000007629395,30.0;53,2064,48.0,28.0;27,2160,48.0,9.0;33,1840,46.0,12.0;
47,2080,52.0,5.0;59,1840,46.0,31.0;48,1880,47.0,28.0;57,1785,51.0,33.0;31,2223,49.4000015258789,7.0;27,2080,52.0,9.0;
52,1944,47.0,29.0;32,2040,51.0,14.0;32,1542,51.4000015258789,10.0;56,1680,42.0,24.0;50,2340,52.0,26.0;26,2110,49.0,8.0;
25,1944,49.0,7.0;26,2080,52.0,7.0;35,2115,47.0,15.0;34,1959,47.5999984741211,15.0;32,2838,51.5999984741211,10.0;31,2000,50.0,8.0;
52,1236,52.0,21.0;35,510,16.0,1.0;46,1914,51.2000007629395,19.0;53,2127,52.0,13.0;29,3120,52.0,11.0;36,2016,48.0,18.0;
58,1790,43.0,33.0;35,735,49.0,14.0;49,2160,48.0,30.0;59,416,52.0,8.0;38,1880,47.0,16.0;48,1840,46.0,22.0;
28,1920,48.0,10.0;28,2008,50.0,10.0;34,2000,50.0,15.0;44,1068,35.5999984741211,25.0;34,1857,50.2000007629395,12.0;61,1890,45.0,34.0;
36,1980,51.0,18.0;44,1864,47.0,26.0;39,2030,50.0,21.0;27,2460,48.2000007629395,8.0;54,1868,46.7000007629395,9.0;50,1720,43.0,25.0;
32,1544,38.0,12.0;27,2008,48.0,8.0;56,1836,51.0,36.0;45,780,52.0,27.0;61,1500,50.0,37.0;50,1352,52.0,22.0;
29,1828,46.0,7.0;43,1474,39.0,9.0;46,1040,52.0,27.0;45,1687,48.2000007629395,17.0;52,1044,34.7999992370605,28.0;31,2184,52.0,9.0;
61,2000,50.0,15.0;27,2000,48.0,7.0;32,2000,50.0,13.0;51,624,39.0,16.0;47,2040,51.0,21.0;47,1012,46.0,14.0;
30,960,24.0,12.0;45,2025,38.0,21.0;36,1530,51.0,15.0;25,2286,50.7999992370605,2.0;34,1612,40.2999992370605,11.0;53,3744,52.0,33.0;
35,1536,38.0,13.0;38,1832,46.0,20.0;41,1664,52.0,12.0;45,1960,49.0,22.0;40,2000,50.0,16.0;41,1920,48.0,16.0;
36,1751,42.0,8.0;34,274,15.0,5.0;39,1900,50.0,12.0;42,354,35.4000015258789,12.0;33,2040,51.0,13.0;28,2322,51.5999984741211,5.0;
30,716,18.0,12.0;43,2205,49.0,25.0;57,1975,49.0,34.0;39,1680,35.0,16.0;37,2330,46.5999984741211,16.0;38,1847,48.5999984741211,20.0;
34,1386,40.0,9.0;31,2080,52.0,6.0;43,1260,50.4000015258789,24.0;47,2295,51.0,25.0;49,2190,43.7999992370605,25.0;51,2304,51.2000007629395,27.0;
28,1964,47.0,10.0;31,1796,44.0,13.0;47,2000,50.0,22.0;49,2064,51.5999984741211,31.0;59,2000,50.0,35.0;44,1920,47.0,25.0;
26,2040,49.0,8.0;60,1888,42.0,38.0;44,2030,48.0,24.0;30,2602,51.0,11.0;59,1788,44.7000007629395,35.0;28,1680,40.0,10.0;
31,1920,48.0,12.0;27,2020,50.0,9.0;44,1470,42.0,6.0;49,2000,50.0,18.0;40,1992,49.7999992370605,13.0;58,1628,40.7000007629395,25.0;
52,760,38.0,30.0;56,717,41.0,38.0;46,2064,51.5999984741211,17.0;28,1880,47.0,10.0;38,1722,49.2000007629395,14.0;29,1254,33.0,8.0;
