34,1600,32.0,12.0,10000.0,1.0;42,2250,45.0,19.0,11300.0,2.0;25,1906,43.0,7.0,9000.0,3.0;52,2663,51.0,34.0,22000.0,3.0;39,2110,49.0,21.0,23500.0,3.0;35,1972,49.0,8.0,11300.0,3.0
32,520,13.0,14.0,9095.0,2.0;42,2400,50.0,24.0,17832.0,2.0;49,1560,39.0,31.0,19000.0,2.0;46,2450,49.0,28.0,51000.0,2.0;33,3171,51.0,10.0,20663.0,3.0;25,2002,51.0,7.0,7823.0,3.0
30,2410,48.0,12.0,20500.0,1.0;53,2258,50.0,35.0,26525.0,3.0;31,1920,47.0,8.0,31670.0,2.0;54,816,0.0,7.0,2000.0,2.0;25,2958,51.0,7.0,21000.0,4.0;27,312,16.0,5.0,2000.0,2.0
41,1746,47.0,23.0,22000.0,1.0;27,1904,47.0,6.0,12000.0,1.0;31,2268,49.0,11.0,25000.0,3.0;43,1240,31.0,25.0,6000.0,2.0;33,1548,52.0,14.0,20000.0,4.0;25,1880,47.0,7.0,10192.0,1.0
32,2752,50.0,13.0,23000.0,3.0;30,1952,40.0,12.0,18000.0,3.0;42,2300,50.0,24.0,22000.0,3.0;28,2078,49.0,10.0,10400.0,4.0;50,2040,51.0,32.0,30000.0,2.0;30,1673,47.0,12.0,15000.0,1.0
28,3028,50.0,9.0,10100.0,3.0;37,2304,48.0,19.0,16000.0,3.0;28,2000,49.0,9.0,16000.0,3.0;40,2233,47.0,21.0,23000.0,2.0;33,1868,47.0,14.0,8000.0,3.0;50,1110,37.0,23.0,23000.0,1.0
31,2778,50.0,13.0,21000.0,3.0;28,2550,51.0,8.0,18400.0,3.0;52,2461,49.0,34.0,27500.0,3.0;42,3180,48.0,23.0,27624.0,2.0;58,2000,50.0,37.0,7920.0,3.0;47,2080,52.0,5.0,7620.0,3.0
36,2419,46.0,17.0,20270.0,1.0;57,1320,33.0,39.0,14000.0,1.0;27,2241,48.0,9.0,20000.0,3.0;25,3518,47.0,7.0,17000.0,3.0;56,1840,48.0,30.0,11700.0,1.0;52,1944,47.0,29.0,13000.0,2.0
31,1710,29.0,13.0,11000.0,2.0;36,1992,46.0,18.0,27147.0,2.0;32,2886,51.0,14.0,22700.0,2.0;28,2000,0.0,10.0,5100.0,3.0;35,1944,49.0,15.0,24000.0,2.0;25,1944,49.0,7.0,9000.0,2.0
37,3104,48.0,19.0,31000.0,3.0;39,1163,47.0,21.0,40000.0,2.0;25,1600,40.0,7.0,10000.0,3.0;26,1560,39.0,7.0,11200.0,3.0;34,1579,39.0,14.0,20037.0,1.0;52,1236,52.0,21.0,9000.0,4.0
55,1920,48.0,37.0,29000.0,4.0;27,2572,51.0,9.0,12000.0,4.0;34,2000,50.0,16.0,19542.0,3.0;59,1939,40.0,41.0,20000.0,2.0;30,4080,50.0,8.0,16600.0,3.0;58,1790,43.0,33.0,8300.0,3.0
29,1920,48.0,11.0,19000.0,4.0;40,2100,50.0,22.0,16000.0,3.0;27,1867,50.0,3.0,11000.0,2.0;46,1476,49.0,24.0,18000.0,3.0;30,1632,34.0,11.0,17317.0,2.0;28,1920,48.0,10.0,8640.0,2.0
37,2544,47.0,19.0,15500.0,2.0;38,2730,45.0,20.0,39580.0,2.0;25,1995,47.0,7.0,20000.0,4.0;28,3185,49.0,9.0,34000.0,3.0;51,3000,50.0,33.0,19240.0,3.0;36,1980,51.0,18.0,17665.0,3.0
60,1886,45.0,38.0,23200.0,4.0;63,1350,0.0,45.0,8900.0,3.0;31,1920,45.0,13.0,13100.0,3.0;29,2100,50.0,11.0,14000.0,3.0;35,2600,52.0,17.0,35000.0,3.0;32,1544,38.0,12.0,6658.0,3.0
32,1672,42.0,14.0,14700.0,3.0;43,3000,50.0,25.0,55000.0,3.0;39,1920,48.0,21.0,25050.0,3.0;54,2142,51.0,35.0,9000.0,3.0;43,4500,50.0,25.0,70000.0,3.0;29,1828,46.0,7.0,12000.0,3.0
39,2333,48.0,20.0,28000.0,4.0;62,2050,41.0,44.0,30000.0,1.0;47,2070,46.0,29.0,21000.0,1.0;38,1040,26.0,20.0,8480.0,2.0;55,2064,50.0,36.0,23000.0,1.0;61,2000,50.0,15.0,5000.0,3.0
43,1040,13.0,16.0,3500.0,4.0;37,1936,48.0,19.0,15000.0,3.0;26,3060,51.0,8.0,28415.0,4.0;28,2080,52.0,9.0,9000.0,3.0;50,1910,47.0,31.0,24357.0,3.0;30,960,24.0,12.0,3250.0,2.0
50,1816,45.0,32.0,8000.0,3.0;36,1912,47.0,18.0,11000.0,3.0;51,2385,48.0,28.0,51000.0,1.0;30,2450,49.0,11.0,30000.0,3.0;28,2024,46.0,8.0,26500.0,2.0;35,1536,38.0,13.0,17000.0,2.0
59,1868,47.0,41.0,19403.0,3.0;52,2083,50.0,31.0,8000.0,3.0;29,2242,50.0,11.0,28000.0,2.0;63,2496,52.0,37.0,45000.0,2.0;48,726,17.0,29.0,14000.0,2.0;36,1751,42.0,8.0,5516.0,3.0
27,2000,50.0,9.0,9000.0,3.0;61,1960,49.0,43.0,16000.0,2.0;25,1736,43.0,7.0,9806.0,3.0;48,1920,48.0,23.0,8000.0,3.0;46,1760,44.0,28.0,14200.0,2.0;30,716,18.0,12.0,7500.0,2.0
51,2090,51.0,33.0,16000.0,1.0;57,1849,52.0,38.0,8000.0,1.0;27,2948,47.0,8.0,23000.0,1.0;53,2112,48.0,34.0,44500.0,4.0;29,1880,47.0,10.0,5207.0,3.0;34,1386,40.0,9.0,14000.0,3.0
53,2205,49.0,31.0,23500.0,4.0;34,2225,48.0,14.0,33250.0,2.0;27,2500,50.0,8.0,15000.0,3.0;31,2584,49.0,13.0,11000.0,3.0;59,1692,42.0,41.0,12690.0,3.0;28,1964,47.0,10.0,12000.0,1.0
