0,401081,2001,123686.27143273,84.5030517578125;1,401896,2002,44400.4802182983,78.4973754882812;0,422669,2003,40535.7763457225,83.807487487793;0,430129,2004,24149.4401159854,83.5189361572266;1,422939,2005,129954.781682089,84.7600860595703;1,427362,2006,76791.1433723519,83.3067474365234;1,431571,2007,88472.8421819377,83.4363555908203;0,451008,2008,85570.9472625994,86.8444213867187;0,461942,2009,109899.643004679,87.7582626342773;0,461150,2010,46200.1653704155,85.5282821655273;0,459597,2011,53924.6505355028,87.3117904663086;1,442212,2012,151521.517143663,86.6949615478516;1,438025,2013,52108.6685757598,82.2000274658203;0,440513,2014,46207.0746388621,86.8310241699219
1,391177,2001,54288.6836047192,80.3068389892578;1,401448,2002,27209.7548363257,76.7562408447266;0,423146,2003,89563.8277793723,84.5062713623047;0,430633,2004,88629.724352302,85.6149368286133;1,421996,2005,46628.9680369852,81.0907592773437;1,427461,2006,84865.335532111,82.8814163208008;0,445349,2007,32930.0126530297,84.3384552001953;1,435448,2008,46807.5972255188,80.4804992675781;0,461363,2009,44934.9167390857,85.0053482055664;0,461106,2010,42546.1605949013,85.6823272705078;0,459937,2011,101050.060000794,87.5767593383789;0,460695,2012,338382.072660333,89.4220962524414;1,438906,2013,174420.089899362,86.9482192993164;1,420287,2014,25607.3642695424,79.2923965454102
0,400750,2001,56411.1340540016,83.0620651245117;1,402143,2002,50641.3652215093,79.7232208251953;0,421835,2003,7753.25840791317,81.7455978393555;1,417829,2004,147493.33635054,85.2910232543945;1,422263,2005,56598.1130686958,81.9909820556641;1,427760,2006,131878.732627034,86.5491714477539;1,431263,2007,63524.2544945359,82.8852615356445;0,450882,2008,62832.5273623234,85.9478759765625;0,460888,2009,18789.0418204672,83.156982421875;0,461313,2010,66928.3819133197,86.7343368530273;1,440750,2011,58436.8247945322,82.7006454467773;0,460265,2012,60339.1238214483,86.7090606689453;0,457888,2013,91099.5571628064,89.0320510864258;1,421114,2014,47929.1979725157,82.471076965332
0,401147,2001,186218.774742267,87.8312911987305;0,413512,2002,27988.7869093291,83.6328506469727;1,411021,2003,96021.6515143707,82.9583511352539;0,430718,2004,129062.500816628,86.6191101074219;0,435685,2005,26905.8723654573,82.8125228881836;0,441568,2006,124103.382933412,87.355598449707;1,430149,2007,28977.464159535,78.5830764770508;1,433679,2008,7970.14416269944,76.4445953369141;0,461840,2009,102470.066260065,88.8928451538086;0,461381,2010,63866.9335652154,86.2035217285156;0,459659,2011,58048.0415714172,86.6343536376953;1,442126,2012,145889.614622184,86.573127746582;0,457823,2013,81114.7447672133,87.4326782226562;0,440294,2014,32010.0662234211,85.7911224365234
1,391106,2001,58100.5437322839,80.7922134399414;0,412463,2002,6094.16069323915,81.2683715820312;1,410608,2003,61031.6180673023,81.2257614135742;0,430373,2004,51715.2986952818,85.0638580322266;0,436257,2005,86785.7887095665,86.3296279907227;1,426594,2006,39580.3061653236,80.1448287963867;0,442887,2007,441.610718437736,79.8516693115234;1,436500,2008,241278.45009517,86.8019866943359;1,445634,2009,116286.977928034,86.0439376831055;0,461257,2010,53939.0045448995,86.4198455810547;1,440653,2011,57044.2427807252,83.2869873046875;1,442313,2012,351239.644634944,87.5988693237305;0,457366,2013,31416.7109315667,84.6359176635742;0,440787,2014,69064.8916765314,87.2286987304687
1,391256,2001,64618.264053848,80.5861053466797;1,402530,2002,70444.2672671195,81.3615798950195;1,410447,2003,53328.8245446045,80.7975158691406;1,417593,2004,96734.1760246909,83.9465026855469;1,422199,2005,54053.0616352727,81.1101837158203;1,426886,2006,45590.5638790707,80.9428024291992;0,445989,2007,133312.486482758,87.6084671020508;1,436441,2008,170677.60675273,85.6515960693359;1,445119,2009,63529.1087269507,82.2339706420898;0,459267,2010,1858.43142583393,80.1184844970703;0,459931,2011,94223.8437317365,86.4672470092773;0,459911,2012,38480.1938797144,85.9750213623047;0,458106,2013,178909.233771344,90.1324081420898;1,419436,2014,12354.6413189824,76.6213150024414
0,401187,2001,1893832.33153054,88.3834457397461;0,413954,2002,99017.2059049732,86.1960830688477;0,422753,2003,51232.908457221,84.9447860717773;0,427728,2004,499.299498396037,80.0924758911133;0,436324,2005,83250.12287702,86.7250747680664;1,426703,2006,40768.4837300684,79.5905456542969;1,431562,2007,81632.6385584736,84.3208694458008;1,436138,2008,91243.4000605311,83.8511428833008;1,443504,2009,18457.141931134,76.9416275024414;0,461813,2010,248983.309225844,89.2060470581055;0,459711,2011,60921.574186071,86.8042526245117;1,440615,2012,37802.5195471763,79.5110168457031;1,436423,2013,13647.3298480993,77.1163940429687;0,440778,2014,70725.5977836026,87.2438201904297
1,390918,2001,45575.7777370174,79.1148223876953;0,413634,2002,45851.411185841,84.1099014282227;1,411247,2003,144956.304030188,83.6668319702148;0,430159,2004,34478.7256150074,83.0559768676758;1,422527,2005,70224.6152955844,82.0844955444336;1,426634,2006,38397.3329157132,79.8136215209961;1,431240,2007,62140.6738021651,82.495246887207;1,435598,2008,50574.0659530546,82.3120040893555;1,443028,2009,8727.426552159,76.0613174438477;0,460852,2010,21515.07224055,83.0755386352539;0,457070,2011,434.736402217555,79.7318878173828;0,459880,2012,35244.4346366516,86.3361358642578;1,437023,2013,25513.0278935767,78.674690246582;1,420441,2014,29874.4472606103,79.4293441772461
1,391521,2001,91216.0552444843,82.1526947021484;0,414112,2002,170152.160557008,86.5878677368164;1,411013,2003,97934.3601475943,83.2461318969727;0,430369,2004,59423.8865975312,85.0948791503906;0,436309,2005,92411.3050696005,87.3954620361328;1,427701,2006,105998.028250394,84.6466369628906;1,431694,2007,113846.63538252,84.5570907592773;0,450586,2008,45476.1444475169,85.2604446411133;0,460384,2009,9430.49454847822,81.6929321289062;1,443793,2010,45985.5357595915,82.4859619140625;0,460145,2011,271654.135555226,89.0181198120117;1,440366,2012,28998.3319039705,79.2193450927734;1,437632,2013,35276.1527600209,79.0177764892578;0,440887,2014,100934.444784393,88.447395324707
0,401089,2001,127283.376541063,85.4944763183594;0,414161,2002,207132.338260135,87.2333297729492;1,410997,2003,88869.6236190271,83.7518005371094;0,430583,2004,86833.5773433606,84.4226684570312;1,421291,2005,24308.9546295259,77.3152618408203;1,427575,2006,88301.3421754541,84.1658325195312;1,431946,2007,262577.372640041,87.0589904785156;1,435547,2008,57062.5485808068,81.5841369628906;1,442727,2009,5642.05500205839,75.6783676147461;1,444086,2010,63235.3942934367,83.3450088500977;1,441227,2011,117997.901948324,87.4822540283203;1,441520,2012,59377.0165584146,82.7451400756836;0,457389,2013,38782.5434682516,85.3302383422852;1,421295,2014,64155.3673329232,83.2960510253906
