0,0.17855126999059268,2001,0.040790743776266056,0.736840162272897;0,0.34679478564709043,2002,0.017784381732943964,0.6607754142066641;0,0.47492272544012903,2003,0.030558075457488496,0.6803856263373953;0,0.5767504367692514,2004,0.036329917566176324,0.75975375813177;0,0.6491063029162747,2005,0.020481829220653572,0.6822156935394229;0,0.7130493213277785,2006,0.009267126723093046,0.6571481693287069;0,0.7621153070823814,2007,0.002889101256991418,0.6456156919285073;0,0.8412310173363795,2008,0.00920797030107357,0.6710946708228299;0,0.991640908480043,2009,0.019954496503197184,0.7410198169462978;0,0.9896250503964521,2010,0.023771465637463417,0.8237735562840507;0,0.9602472785915872,2011,0.010109182408902635,0.7302652775204819;0,0.976696680553689,2012,0.02990357001780824,0.8168862210337284;0,0.9048918156161806,2013,0.00011228121782265411,0.4892199544110908;0,0.6909420776777315,2014,0.0012042418373724574,0.5960907777768825
0,0.1746808224700981,2001,0.0200040082693924,0.715194826813155;0,0.35207633382609865,2002,0.03654645429866801,0.6434167921838393;0,0.469977153608386,2003,0.01612405383456703,0.6883401931487766;0,0.5782959279666712,2004,0.06335169823858836,0.8380190839797135;0,0.6552479505442816,2005,0.048734116237502956,0.8810432826163426;0,0.7250638355059804,2006,0.08254892804576006,0.8545249275759245;0,0.7841284773551942,2007,0.1498220936186877,0.9040679645276434;0,0.8524660663889262,2008,0.05234563845938789,0.8542356339892447;0,0.9888724633785781,2009,0.01235138280728401,0.6659145704627921;0,0.978779733906733,2010,0.007130703962901398,0.6662971629092078;0,0.974479236661739,2011,0.6287441882414964,0.9598482651781818;0,0.9773417551404381,2012,0.034304695812199776,0.7986456227396868;0,0.9420642386775971,2013,0.030291598003894155,0.8458645783831275;0,0.7176589168122565,2014,0.06888902267995224,0.9409626294437801
0,0.17912914930788873,2001,0.04572094109059943,0.8155182852340821;0,0.3534471173229405,2002,0.0414865095300687,0.752519740427808;0,0.4673968552613896,2003,0.011308923435986468,0.6507206162289026;0,0.5734444295121623,2004,0.021687091083644233,0.7319946624997669;0,0.6543072167719393,2005,0.042218820739157635,0.7980861651886536;0,0.7208170944765488,2006,0.03175264828943127,0.7608005176408672;0,0.7731890874882408,2007,0.01132867831239532,0.6847747000340981;0,0.8416073108453165,2008,0.007924490295312475,0.6540521909794115;0,0.996142991533396,2009,0.04201198754918247,0.903944796608488;0,0.9946915737132106,2010,0.05874731797696659,0.904932489213582;0,0.9721274022308829,2011,0.05420122248537483,0.8430847422132377;0,0.9663351700040317,2012,0.006893556060387801,0.6532084739528375;0,0.9358957129418088,2013,0.013253533698839748,0.7053034696436423;0,0.7132105899744658,2014,0.028297691974467507,0.8307411017051537
0,0.1722349146620078,2001,0.014769391814974404,0.6614842170547629;0,0.34703668861712134,2002,0.014968138836401199,0.6845193027957438;0,0.47594409353581507,2003,0.040789811355901165,0.7048980558934022;0,0.5718586211530708,2004,0.016778766132311926,0.7481081810346929;0,0.6359897863190431,2005,0.0036004361905325505,0.6277016396435603;0,0.7244053218653407,2006,0.05576700574723125,0.8370186382930765;0,0.7803252251041527,2007,0.03618354615144383,0.803291100496967;0,0.8483671549522913,2008,0.02949795934497475,0.8129542446282686;0,0.9884961698696412,2009,0.015465819251002363,0.7390165763211521;0,0.9891681225641715,2010,0.022638410692043223,0.8020540515868899;0,0.963324821932536,2011,0.015544530035189108,0.7404949269584054;0,0.9761456793441742,2012,0.027227898135663002,0.8344193589093023;0,0.9412578954441607,2013,0.028225608750591335,0.8195653749808712;0,0.7164225238543207,2014,0.05349502653362822,0.9498206514005586
0,0.1795457599784975,2001,0.04934811054364813,0.8187840809324012;0,0.35260045692783226,2002,0.040594436284197136,0.7853176457006045;0,0.4515925278860368,2003,0.001633372014604466,0.5774897371254294;0,0.5635129686870044,2004,0.0053610424152045165,0.6071349463967856;0,0.6507593065448193,2005,0.029449527438215887,0.7591214737729541;0,0.7237064910630292,2006,0.05089341693305809,0.8363232597413415;0,0.7781749764816557,2007,0.024374588390538195,0.766947838554046;0,0.8284235989786319,2008,0.002211921114926739,0.6254221941206954;0,0.9987770460959549,2009,0.072761922733371,0.9240678168603798;0,0.99334766832415,2010,0.05140081892275832,0.8384003339964938;0,0.967450611476952,2011,0.026808427160013634,0.8347442268813501;0,0.9665770729740626,2012,0.009192787961468385,0.6828379096759667;0,0.943703803252251,2013,0.038234976184307205,0.8786399979595073;0,0.7122967343099046,2014,0.02506200208646606,0.8094797011214677
0,0.18068807955919902,2001,0.07174316112685841,0.8389138133324737;0,0.34984545088025804,2002,0.02917927351916901,0.8015788314955485;0,0.47660260717645475,2003,0.04263154140317997,0.7561845733355886;0,0.5474532992877301,2004,0.0008065500767317661,0.5804001245774711;0,0.6521838462572235,2005,0.032728108236897605,0.8046677620892503;0,0.7184115038301303,2006,0.0216623367148079,0.7558462810671779;0,0.773215965596022,2007,0.010906444241117603,0.7114105176677176;0,0.8467410294315281,2008,0.018112788943085822,0.7583871647617597;0,0.9986964117726113,2009,0.06586324809067227,0.8315183684647177;0,0.993723961833087,2010,0.04393534558494872,0.8468086420250316;0,0.9470904448326838,2011,0.0028817274782948618,0.6347772506504075;0,0.9792769789006854,2012,0.04815132863726895,0.8743959066635563;0,0.9429108990727053,2013,0.03482176750468646,0.8186387629242415;0,0.7095014111006586,2014,0.019941166059077,0.8078959697577459
0,0.17550060475742507,2001,0.02815267726073881,0.6803221965370689;0,0.31503830130358823,2002,0.00016574216227906687,0.48683378573212205;0,0.4737804058594275,2003,0.031190519736312722,0.7414819483486792;0,0.5722080365542266,2004,0.015864883493076302,0.6712453585495314;0,0.6553285848676254,2005,0.060963124481232346,0.8863301061324893;0,0.7121623437709985,2006,0.007079617109622424,0.632457532238448;0,0.7832414997984142,2007,0.044094726389349616,0.8382583720624298;0,0.8496841822335708,2008,0.030818666921645744,0.7874749301265381;0,0.9974197016530036,2009,0.047337577962117836,0.8921488673921173;0,0.9957129418088967,2010,0.08433279162887228,0.9142784843432448;0,0.9722752318236796,2011,0.06271942885096672,0.8958472610408148;0,0.9736863324821933,2012,0.022374591601176462,0.7895637506410109;0,0.946230345383685,2013,0.19494946114489706,0.9606275455822008;0,0.7123908076871388,2014,0.026971025451509163,0.8317207397324302
0,0.16913049321327778,2001,0.008249281232984833,0.5878425544825077;0,0.35403843569412713,2002,0.051740958175803965,0.7864489782768056;0,0.465233167585002,2003,0.007407953661262922,0.6042158331521068;0,0.5761725574519554,2004,0.04124154332866093,0.6282074000091313;0,0.6473592259104959,2005,0.011407583822996002,0.688157958325618;0,0.7163822066926488,2006,0.01622457885292492,0.7103285193806603;0,0.7580835909151996,2007,0.0021936404926607444,0.6196802869577619;0,0.844967074317968,2008,0.014796805405648327,0.724581766046732;0,0.9872328988039242,2009,0.010638575083908029,0.638964624294218;0,0.9841150383013035,2010,0.009587002482841098,0.7038227697545257;0,0.9714957666980245,2011,0.04347920703095197,0.8470569915077922;0,0.9696142991533396,2012,0.011925308825097413,0.724702584714024;0,0.9417551404381131,2013,0.03248136466795457,0.8278263513567938;0,0.7159521569681494,2014,0.0472379704741132,0.9021660773400597
0,0.16734309904582717,2001,0.0059460719860963485,0.5639278417221776;0,0.35520763338260986,2002,0.10425983692521466,0.8141399456047513;0,0.4770326569009542,2003,0.04361230131645295,0.7883555639681153;0,0.5760784840747212,2004,0.03866689902818915,0.7406526624407006;0,0.6481252519822605,2005,0.019980717178587768,0.737810403292712;0,0.6838865743851633,2006,0.0001268806205216843,0.4996338523166327;0,0.7569547103883887,2007,0.0014588152036897855,0.6229578289154009;0,0.8417282623303319,2008,0.008782662459135136,0.675019599472696;0,0.9993280473054696,2009,0.10982019323711827,0.9389318690110882;0,0.9615643058728666,2010,0.0007064797775785282,0.5179717767593218;0,0.968915468351028,2011,0.03295757127545375,0.8453470717582365;0,0.9757290686735653,2012,0.02595143039029508,0.7999028080943132;0,0.9378712538637279,2013,0.01877684363173315,0.7787555140297329;0,0.7141110065851364,2014,0.034149810242554424,0.8889988562499519
0,0.18016395645746539,2001,0.06475627884501835,0.8029262952432374;0,0.3547103883886574,2002,0.07877422763492933,0.7732847776533807;0,0.46399677462706623,2003,0.005986475076152724,0.5980869706464345;0,0.573148770326569,2004,0.023260439988767753,0.7549411478847374;0,0.6463916140303723,2005,0.0135207470124346,0.7063019016858236;0,0.7253326165837926,2006,0.1970510682645187,0.9092628316136838;0,0.782327644133853,2007,0.042138930691973005,0.8573990694277781;0,0.8504367692514447,2008,0.03662431922416587,0.8654267986543507;0,0.9897325628275769,2009,0.01839127440209182,0.7329387261416711;0,0.9945975003359764,2010,0.052979618912973966,0.8586525631009065;0,0.9696142991533396,2011,0.03222194735205133,0.8901701261078435;0,0.9695067867222148,2012,0.01073514102196506,0.7158938970463887;0,0.9172019889799758,2013,0.0014615474311559693,0.5657149511758355;0,0.7167316220938046,2014,0.05751552788840591,0.90815129987462
0,0.17152264480580567,2001,0.00955591815844929,0.6429640577889107;0,0.3528557989517538,2002,0.03437517898563461,0.7223610518204718;0,0.4738476011288805,2003,0.02752557718941665,0.7343419007192775;0,0.5743314070689424,2004,0.028360150984565013,0.7144084986535462;0,0.6417013842225507,2005,0.005747489196431188,0.592791085730243;0,0.7187743582851768,2006,0.02437329654969871,0.800192437288401;0,0.7739282354522241,2007,0.015230369922838083,0.7059615957729575;0,0.8354522241634189,2008,0.004080426928324577,0.6089109808059425;0,0.9992205348743448,2009,0.1283097399460428,0.9382583049409495;0,0.991640908480043,2010,0.039162353536600115,0.8528572943599183;0,0.9618330869506787,2011,0.01130629488957998,0.7029438139499917;0,0.9814809837387448,2012,0.08303260231874082,0.9245708923666796;0,0.9295659185593335,2013,0.005891506406870465,0.601661525161162;0,0.7095282892084397,2014,0.01891355125508699,0.8132479011112665
